"QuarterEnding","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","Additions","AdditionsQF","Removals","RemovalsQF","Attended","AttendedQF","ReferredBackToGP","ReferredBackToGPQF","Transferred","TransferredQF","TreatmentNoLongerRequired","TreatmentNoLongerRequiredQF","OtherReasons","OtherReasonsQF"
"20160930","S08000020",,"New Outpatient","C8",,5081,,4560,,3384,,311,,4,,478,,383,
"20170930","S08000020",,"New Outpatient","C8",,4801,,3988,,2744,,205,,11,,601,,427,
"20180930","S08000020",,"New Outpatient","C8",,4541,,4788,,3464,,574,,16,,487,,247,
"20190930","S08000020",,"New Outpatient","C8",,4737,,4858,,3687,,637,,4,,305,,225,
"20200930","S08000020",,"New Outpatient","C8",,2670,,2620,,1900,,368,,5,,267,,80,
"20210930","S08000020",,"New Outpatient","C8",,4289,,4588,,3404,,651,,8,,355,,170,
"20220930","S08000020",,"New Outpatient","C8",,4486,,4110,,3102,,598,,3,,249,,158,
"20130331","S08000020",,"New Outpatient","C8",,3287,,3398,,2760,,148,,1,,311,,178,
"20140331","S08000020",,"New Outpatient","C8",,3823,,3353,,2459,,234,,6,,478,,176,
"20150331","S08000020",,"New Outpatient","C8",,4081,,4612,,3440,,300,,93,,487,,292,
"20160331","S08000020",,"New Outpatient","C8",,4926,,5151,,4019,,300,,12,,443,,377,
"20170331","S08000020",,"New Outpatient","C8",,4751,,4638,,3631,,177,,12,,437,,381,
"20180331","S08000020",,"New Outpatient","C8",,4210,,4499,,3311,,196,,16,,546,,430,
"20190331","S08000020",,"New Outpatient","C8",,4436,,4783,,3569,,550,,5,,397,,262,
"20200331","S08000020",,"New Outpatient","C8",,4063,,4239,,3187,,514,,2,,319,,217,
"20210331","S08000020",,"New Outpatient","C8",,3199,,3000,,2140,,483,,1,,267,,109,
"20220331","S08000020",,"New Outpatient","C8",,3894,,4356,,3351,,595,,3,,291,,116,
"20121231","S08000020",,"New Outpatient","C8",,3613,,3592,,2709,,100,,3,,559,,221,
"20131231","S08000020",,"New Outpatient","C8",,3906,,3406,,2580,,257,,0,,380,,189,
"20141231","S08000020",,"New Outpatient","C8",,3931,,5066,,3843,,436,,64,,538,,185,
"20151231","S08000020",,"New Outpatient","C8",,4409,,4536,,3469,,350,,12,,402,,303,
"20161231","S08000020",,"New Outpatient","C8",,4988,,5118,,3859,,312,,13,,522,,412,
"20171231","S08000020",,"New Outpatient","C8",,4373,,5216,,3777,,229,,7,,687,,516,
"20181231","S08000020",,"New Outpatient","C8",,4431,,5185,,3839,,576,,7,,441,,322,
"20191231","S08000020",,"New Outpatient","C8",,4566,,4791,,3746,,499,,3,,319,,224,
"20201231","S08000020",,"New Outpatient","C8",,3338,,3108,,2170,,505,,6,,284,,143,
"20211231","S08000020",,"New Outpatient","C8",,3689,,4767,,3683,,634,,1,,323,,126,
"20221231","S08000020",,"New Outpatient","C8",,4028,,4018,,3000,,630,,3,,259,,126,
"20121231","S08000020",,"New Outpatient","RK3",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20130630","S08000020",,"New Outpatient","CB",,1155,,1038,,811,,48,,1,,109,,69,
"20140630","S08000020",,"New Outpatient","CB",,1220,,1291,,1063,,100,,0,,75,,53,
"20150630","S08000020",,"New Outpatient","CB",,1418,,1405,,1056,,112,,0,,88,,149,
"20160630","S08000020",,"New Outpatient","CB",,1438,,1354,,1028,,101,,0,,111,,114,
"20170630","S08000020",,"New Outpatient","CB",,1393,,1345,,937,,112,,0,,112,,184,
"20180630","S08000020",,"New Outpatient","CB",,1480,,1493,,1022,,92,,0,,124,,255,
"20190630","S08000020",,"New Outpatient","CB",,1704,,1803,,988,,538,,1,,166,,110,
"20200630","S08000020",,"New Outpatient","CB",,1040,,960,,372,,451,,0,,116,,21,
"20210630","S08000020",,"New Outpatient","CB",,1847,,1791,,713,,660,,4,,279,,135,
"20220630","S08000020",,"New Outpatient","CB",,1823,,1821,,665,,671,,1,,282,,202,
"20130930","S08000020",,"New Outpatient","CB",,1210,,1130,,895,,99,,0,,75,,61,
"20140930","S08000020",,"New Outpatient","CB",,1119,,1076,,853,,87,,1,,76,,59,
"20150930","S08000020",,"New Outpatient","CB",,1336,,1337,,990,,93,,0,,91,,163,
"20160930","S08000020",,"New Outpatient","CB",,1449,,1187,,842,,99,,0,,137,,109,
"20170930","S08000020",,"New Outpatient","CB",,1425,,1219,,759,,88,,1,,153,,218,
"20180930","S08000020",,"New Outpatient","CB",,1657,,1629,,852,,553,,0,,153,,71,
"20190930","S08000020",,"New Outpatient","CB",,1673,,1682,,915,,568,,0,,143,,56,
"20200930","S08000020",,"New Outpatient","CB",,1548,,1309,,481,,603,,0,,197,,28,
"20210930","S08000020",,"New Outpatient","CB",,1921,,1862,,684,,788,,1,,279,,110,
"20220930","S08000020",,"New Outpatient","CB",,1904,,1651,,660,,660,,0,,284,,47,
"20130331","S08000020",,"New Outpatient","CB",,1208,,1172,,983,,29,,2,,75,,83,
"20140331","S08000020",,"New Outpatient","CB",,1218,,1293,,1061,,89,,0,,87,,56,
"20150331","S08000020",,"New Outpatient","CB",,1248,,1344,,998,,111,,0,,103,,132,
"20160331","S08000020",,"New Outpatient","CB",,1406,,1349,,1028,,80,,0,,138,,103,
"20170331","S08000020",,"New Outpatient","CB",,1430,,1535,,1156,,111,,2,,121,,145,
"20180331","S08000020",,"New Outpatient","CB",,1377,,1449,,921,,93,,0,,146,,289,
"20190331","S08000020",,"New Outpatient","CB",,1775,,1663,,898,,547,,0,,154,,64,
"20200331","S08000020",,"New Outpatient","CB",,1770,,1744,,834,,644,,0,,209,,57,
"20210331","S08000020",,"New Outpatient","CB",,1793,,1700,,660,,813,,1,,187,,39,
"20220331","S08000020",,"New Outpatient","CB",,1859,,1646,,651,,785,,0,,173,,37,
"20121231","S08000020",,"New Outpatient","CB",,1214,,1162,,948,,25,,2,,94,,93,
"20131231","S08000020",,"New Outpatient","CB",,1253,,1284,,1088,,76,,0,,69,,51,
"20141231","S08000020",,"New Outpatient","CB",,1243,,1182,,922,,89,,1,,67,,103,
"20151231","S08000020",,"New Outpatient","CB",,1431,,1388,,995,,130,,1,,91,,171,
"20161231","S08000020",,"New Outpatient","CB",,1385,,1304,,906,,135,,2,,126,,135,
"20171231","S08000020",,"New Outpatient","CB",,1336,,1353,,835,,127,,1,,147,,243,
"20181231","S08000020",,"New Outpatient","CB",,1804,,1734,,909,,639,,0,,140,,46,
"20191231","S08000020",,"New Outpatient","CB",,1893,,1571,,744,,593,,1,,166,,67,
"20201231","S08000020",,"New Outpatient","CB",,1896,,1662,,694,,729,,1,,191,,47,
"20211231","S08000020",,"New Outpatient","CB",,2003,,1842,,716,,856,,1,,209,,60,
"20221231","S08000020",,"New Outpatient","CB",,1945,,1797,,750,,768,,1,,230,,48,
"20130630","S08000020",,"New Outpatient","C12",,815,,852,,712,,31,,0,,54,,55,
"20140630","S08000020",,"New Outpatient","C12",,880,,892,,724,,44,,1,,70,,53,
"20150630","S08000020",,"New Outpatient","C12",,830,,717,,548,,26,,0,,65,,78,
"20160630","S08000020",,"New Outpatient","C12",,802,,752,,493,,22,,3,,24,,210,
"20170630","S08000020",,"New Outpatient","C12",,653,,641,,477,,31,,0,,26,,107,
"20180630","S08000020",,"New Outpatient","C12",,496,,677,,492,,29,,2,,36,,118,
"20190630","S08000020",,"New Outpatient","C12",,524,,477,,333,,111,,0,,20,,13,
"20200630","S08000020",,"New Outpatient","C12",,246,,237,,93,,74,,0,,59,,11,
"20210630","S08000020",,"New Outpatient","C12",,506,,475,,240,,132,,1,,79,,23,
"20220630","S08000020",,"New Outpatient","C12",,576,,431,,245,,126,,1,,51,,8,
"20130930","S08000020",,"New Outpatient","C12",,789,,768,,617,,37,,0,,72,,42,
"20140930","S08000020",,"New Outpatient","C12",,716,,667,,561,,31,,0,,53,,22,
"20150930","S08000020",,"New Outpatient","C12",,859,,819,,627,,41,,1,,68,,82,
"20160930","S08000020",,"New Outpatient","C12",,684,,691,,493,,35,,0,,16,,147,
"20170930","S08000020",,"New Outpatient","C12",,611,,636,,467,,37,,0,,30,,102,
"20180930","S08000020",,"New Outpatient","C12",,458,,622,,469,,119,,0,,16,,18,
"20190930","S08000020",,"New Outpatient","C12",,547,,509,,345,,117,,0,,37,,10,
"20200930","S08000020",,"New Outpatient","C12",,358,,368,,234,,71,,0,,58,,5,
"20210930","S08000020",,"New Outpatient","C12",,433,,516,,295,,143,,1,,67,,10,
"20220930","S08000020",,"New Outpatient","C12",,509,,485,,272,,139,,0,,66,,8,
"20130331","S08000020",,"New Outpatient","C12",,670,,680,,546,,41,,0,,58,,35,
"20140331","S08000020",,"New Outpatient","C12",,681,,697,,573,,22,,0,,68,,34,
"20150331","S08000020",,"New Outpatient","C12",,688,,659,,497,,33,,1,,59,,69,
"20160331","S08000020",,"New Outpatient","C12",,726,,677,,473,,28,,1,,43,,132,
"20170331","S08000020",,"New Outpatient","C12",,604,,648,,477,,27,,0,,29,,115,
"20180331","S08000020",,"New Outpatient","C12",,517,,540,,411,,19,,0,,32,,78,
"20190331","S08000020",,"New Outpatient","C12",,513,,528,,363,,135,,0,,25,,5,
"20200331","S08000020",,"New Outpatient","C12",,429,,480,,286,,128,,0,,51,,15,
"20210331","S08000020",,"New Outpatient","C12",,451,,373,,209,,109,,0,,48,,7,
"20220331","S08000020",,"New Outpatient","C12",,474,,493,,286,,115,,3,,72,,17,
"20121231","S08000020",,"New Outpatient","C12",,645,,769,,644,,38,,0,,44,,43,
"20131231","S08000020",,"New Outpatient","C12",,708,,760,,626,,23,,0,,77,,34,
"20141231","S08000020",,"New Outpatient","C12",,696,,720,,569,,28,,1,,67,,55,
"20151231","S08000020",,"New Outpatient","C12",,717,,928,,749,,57,,2,,55,,65,
"20161231","S08000020",,"New Outpatient","C12",,695,,594,,392,,31,,0,,26,,145,
"20171231","S08000020",,"New Outpatient","C12",,543,,486,,309,,24,,0,,23,,130,
"20181231","S08000020",,"New Outpatient","C12",,498,,444,,318,,107,,0,,11,,8,
"20191231","S08000020",,"New Outpatient","C12",,471,,528,,342,,126,,0,,49,,11,
"20201231","S08000020",,"New Outpatient","C12",,362,,365,,196,,111,,0,,50,,8,
"20211231","S08000020",,"New Outpatient","C12",,421,,418,,227,,114,,2,,64,,11,
"20221231","S08000020",,"New Outpatient","C12",,489,,539,,317,,150,,1,,58,,13,
"20130630","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20150630","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20170630","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20190630","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20200630","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20210630","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20130930","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20140930","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20180930","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20190930","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20200930","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20210930","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20180331","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20190331","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20200331","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20210331","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20181231","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20191231","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20201231","S08000031",,"New Outpatient","C2",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20220930","S08000031",,"New Outpatient","A11",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20221231","S08000031",,"New Outpatient","A11",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20130630","S08000031",,"New Outpatient","AW",,99,,85,,54,,2,,3,,23,,3,
"20140630","S08000031",,"New Outpatient","AW",,121,,142,,124,,5,,1,,3,,9,
"20150630","S08000031",,"New Outpatient","AW",,133,,112,,97,,8,,0,,3,,4,
"20160630","S08000031",,"New Outpatient","AW",,146,,146,,132,,3,,1,,7,,3,
"20170630","S08000031",,"New Outpatient","AW",,152,,164,,139,,10,,4,,0,,11,
"20180630","S08000031",,"New Outpatient","AW",,164,,185,,144,,5,,2,,14,,20,
"20190630","S08000031",,"New Outpatient","AW",,236,,203,,175,,8,,1,,8,,11,
"20200630","S08000031",,"New Outpatient","AW",,114,,124,,106,,13,,2,,0,,3,
"20210630","S08000031",,"New Outpatient","AW",,204,,191,,164,,5,,6,,7,,9,
"20220630","S08000031",,"New Outpatient","AW",,165,,205,,180,,6,,0,,6,,13,
"20130930","S08000031",,"New Outpatient","AW",,139,,55,,41,,8,,0,,2,,4,
"20140930","S08000031",,"New Outpatient","AW",,146,,133,,118,,9,,0,,2,,4,
"20150930","S08000031",,"New Outpatient","AW",,122,,132,,116,,7,,0,,4,,5,
"20160930","S08000031",,"New Outpatient","AW",,180,,148,,128,,7,,4,,1,,8,
"20170930","S08000031",,"New Outpatient","AW",,198,,179,,132,,11,,11,,8,,17,
"20180930","S08000031",,"New Outpatient","AW",,185,,152,,119,,4,,4,,17,,8,
"20190930","S08000031",,"New Outpatient","AW",,200,,197,,163,,4,,2,,24,,4,
"20200930","S08000031",,"New Outpatient","AW",,160,,128,,109,,7,,2,,1,,9,
"20210930","S08000031",,"New Outpatient","AW",,202,,200,,177,,5,,0,,6,,12,
"20220930","S08000031",,"New Outpatient","AW",,197,,207,,184,,4,,4,,7,,8,
"20130331","S08000031",,"New Outpatient","AW",,106,,85,,47,,2,,0,,34,,2,
"20140331","S08000031",,"New Outpatient","AW",,148,,168,,153,,7,,0,,4,,4,
"20150331","S08000031",,"New Outpatient","AW",,130,,143,,129,,7,,0,,2,,5,
"20160331","S08000031",,"New Outpatient","AW",,133,,124,,116,,3,,0,,4,,1,
"20170331","S08000031",,"New Outpatient","AW",,184,,180,,148,,7,,5,,6,,14,
"20180331","S08000031",,"New Outpatient","AW",,167,,163,,112,,10,,5,,19,,17,
"20190331","S08000031",,"New Outpatient","AW",,212,,188,,169,,5,,2,,7,,5,
"20200331","S08000031",,"New Outpatient","AW",,139,,138,,121,,2,,4,,3,,8,
"20210331","S08000031",,"New Outpatient","AW",,171,,141,,121,,5,,1,,7,,7,
"20220331","S08000031",,"New Outpatient","AW",,183,,187,,169,,7,,0,,7,,4,
"20121231","S08000031",,"New Outpatient","AW",,101,,118,,48,,5,,0,,65,,0,
"20131231","S08000031",,"New Outpatient","AW",,159,,168,,143,,14,,0,,4,,7,
"20141231","S08000031",,"New Outpatient","AW",,126,,139,,128,,3,,0,,1,,7,
"20151231","S08000031",,"New Outpatient","AW",,130,,117,,111,,3,,0,,1,,2,
"20161231","S08000031",,"New Outpatient","AW",,190,,173,,129,,19,,7,,7,,11,
"20171231","S08000031",,"New Outpatient","AW",,165,,201,,165,,12,,4,,9,,11,
"20181231","S08000031",,"New Outpatient","AW",,196,,213,,189,,3,,4,,15,,2,
"20191231","S08000031",,"New Outpatient","AW",,170,,198,,171,,7,,3,,9,,8,
"20201231","S08000031",,"New Outpatient","AW",,162,,153,,144,,1,,4,,3,,1,
"20211231","S08000031",,"New Outpatient","AW",,186,,182,,153,,5,,5,,9,,10,
"20221231","S08000031",,"New Outpatient","AW",,157,,186,,179,,3,,1,,2,,1,
"20130630","S08000031",,"New Outpatient","C3",,52,,287,,217,,34,,0,,13,,23,
"20140630","S08000031",,"New Outpatient","C3",,1,,0,,0,,0,,0,,0,,0,
"20170630","S08000031",,"New Outpatient","C3",,4,,4,,0,,0,,0,,0,,4,
"20180630","S08000031",,"New Outpatient","C3",,4,,4,,0,,0,,0,,0,,4,
"20190630","S08000031",,"New Outpatient","C3",,2,,2,,0,,0,,0,,0,,2,
"20200630","S08000031",,"New Outpatient","C3",,1,,0,,0,,0,,0,,0,,0,
"20210630","S08000031",,"New Outpatient","C3",,2,,2,,1,,0,,0,,0,,1,
"20140930","S08000031",,"New Outpatient","C3",,0,,1,,0,,0,,0,,0,,1,
"20180930","S08000031",,"New Outpatient","C3",,1,,1,,0,,0,,0,,0,,1,
"20190930","S08000031",,"New Outpatient","C3",,1,,1,,0,,0,,0,,0,,1,
"20200930","S08000031",,"New Outpatient","C3",,1,,1,,0,,0,,0,,0,,1,
"20130331","S08000031",,"New Outpatient","C3",,480,,516,,375,,70,,0,,30,,41,
"20180331","S08000031",,"New Outpatient","C3",,1,,1,,0,,0,,0,,0,,1,
"20190331","S08000031",,"New Outpatient","C3",,4,,4,,0,,0,,0,,0,,4,
"20121231","S08000031",,"New Outpatient","C3",,521,,517,,381,,76,,2,,18,,40,
"20161231","S08000031",,"New Outpatient","C3",,1,,1,,0,,0,,0,,0,,1,
"20171231","S08000031",,"New Outpatient","C3",,2,,2,,0,,0,,0,,2,,0,
"20181231","S08000031",,"New Outpatient","C3",,8,,8,,0,,0,,0,,0,,8,
"20191231","S08000031",,"New Outpatient","C3",,2,,2,,0,,0,,0,,0,,2,
"20201231","S08000031",,"New Outpatient","C3",,0,,1,,0,,1,,0,,0,,0,
"20211231","S08000031",,"New Outpatient","C3",,1,,1,,1,,0,,0,,0,,0,
"20130630","S08000031",,"New Outpatient","C51",,144,,151,,92,,7,,9,,17,,26,
"20140630","S08000031",,"New Outpatient","C51",,314,,318,,118,,9,,189,,2,,0,
"20150630","S08000031",,"New Outpatient","C51",,339,,393,,81,,3,,305,,1,,3,
"20160630","S08000031",,"New Outpatient","C51",,446,,485,,106,,8,,367,,2,,2,
"20170630","S08000031",,"New Outpatient","C51",,311,,302,,106,,10,,181,,2,,3,
"20180630","S08000031",,"New Outpatient","C51",,107,,104,,83,,6,,4,,5,,6,
"20190630","S08000031",,"New Outpatient","C51",,138,,122,,108,,7,,0,,3,,4,
"20200630","S08000031",,"New Outpatient","C51",,58,,20,,17,,0,,0,,2,,1,
"20210630","S08000031",,"New Outpatient","C51",,128,,136,,109,,14,,0,,5,,8,
"20220630","S08000031",,"New Outpatient","C51",,111,,114,,100,,8,,0,,4,,2,
"20130930","S08000031",,"New Outpatient","C51",,196,,167,,66,,7,,77,,3,,14,
"20140930","S08000031",,"New Outpatient","C51",,254,,260,,91,,8,,157,,1,,3,
"20150930","S08000031",,"New Outpatient","C51",,398,,434,,131,,9,,274,,1,,19,
"20160930","S08000031",,"New Outpatient","C51",,375,,381,,114,,10,,254,,3,,0,
"20170930","S08000031",,"New Outpatient","C51",,148,,90,,75,,1,,4,,5,,5,
"20180930","S08000031",,"New Outpatient","C51",,114,,115,,99,,4,,5,,2,,5,
"20190930","S08000031",,"New Outpatient","C51",,111,,127,,113,,4,,0,,9,,1,
"20200930","S08000031",,"New Outpatient","C51",,61,,81,,63,,11,,0,,5,,2,
"20210930","S08000031",,"New Outpatient","C51",,132,,108,,94,,9,,0,,4,,1,
"20220930","S08000031",,"New Outpatient","C51",,121,,113,,89,,9,,0,,5,,10,
"20130331","S08000031",,"New Outpatient","C51",,131,,115,,80,,20,,0,,14,,1,
"20140331","S08000031",,"New Outpatient","C51",,212,,225,,115,,12,,82,,3,,13,
"20150331","S08000031",,"New Outpatient","C51",,363,,246,,87,,6,,151,,0,,2,
"20160331","S08000031",,"New Outpatient","C51",,456,,426,,120,,5,,300,,1,,0,
"20170331","S08000031",,"New Outpatient","C51",,446,,442,,128,,7,,302,,1,,4,
"20180331","S08000031",,"New Outpatient","C51",,100,,133,,116,,7,,3,,5,,2,
"20190331","S08000031",,"New Outpatient","C51",,121,,129,,115,,4,,1,,5,,4,
"20200331","S08000031",,"New Outpatient","C51",,135,,134,,113,,4,,9,,6,,2,
"20210331","S08000031",,"New Outpatient","C51",,87,,97,,80,,11,,1,,3,,2,
"20220331","S08000031",,"New Outpatient","C51",,130,,107,,92,,10,,0,,3,,2,
"20121231","S08000031",,"New Outpatient","C51",,114,,140,,102,,24,,0,,12,,2,
"20131231","S08000031",,"New Outpatient","C51",,278,,320,,115,,12,,96,,4,,93,
"20141231","S08000031",,"New Outpatient","C51",,208,,205,,78,,3,,123,,1,,0,
"20151231","S08000031",,"New Outpatient","C51",,392,,365,,113,,5,,244,,1,,2,
"20161231","S08000031",,"New Outpatient","C51",,442,,467,,147,,7,,307,,5,,1,
"20171231","S08000031",,"New Outpatient","C51",,145,,146,,120,,6,,6,,6,,8,
"20181231","S08000031",,"New Outpatient","C51",,116,,84,,70,,4,,2,,5,,3,
"20191231","S08000031",,"New Outpatient","C51",,122,,121,,105,,5,,0,,8,,3,
"20201231","S08000031",,"New Outpatient","C51",,92,,94,,70,,13,,0,,8,,3,
"20211231","S08000031",,"New Outpatient","C51",,124,,102,,87,,5,,1,,4,,5,
"20221231","S08000031",,"New Outpatient","C51",,113,,142,,134,,5,,0,,1,,2,
"20130630","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20140630","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20150630","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20160630","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20180630","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20220630","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20130930","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20140930","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20150930","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20160930","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20170930","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20180930","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20210930","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20220930","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20130331","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20140331","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20150331","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20160331","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20170331","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20180331","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20131231","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20141231","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20161231","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20181231","S08000031",,"New Outpatient","R82",,,":u",,":u",,":u",,":u",,":u",,":u",,":u"
"20190630","S08000031",,"New Outpatient","C41",,1,,0,,0,,0,,0,,0,,0,
"20190930","S08000031",,"New Outpatient","C41",,3,,3,,3,,0,,0,,0,,0,
"20130331","S08000031",,"New Outpatient","C41",,1,,1,,0,,0,,0,,0,,1,
"20140331","S08000031",,"New Outpatient","C41",,1,,1,,0,,0,,0,,0,,1,
"20181231","S08000031",,"New Outpatient","C41",,1,,1,,0,,0,,0,,0,,1,
"20191231","S08000031",,"New Outpatient","C41",,1,,2,,2,,0,,0,,0,,0,
"20130630","S08000031",,"New Outpatient","A2",,6248,,5783,,4827,,363,,31,,167,,395,
"20140630","S08000031",,"New Outpatient","A2",,5989,,5732,,4932,,434,,12,,133,,221,
"20150630","S08000031",,"New Outpatient","A2",,5717,,5647,,4928,,361,,11,,192,,155,
"20160630","S08000031",,"New Outpatient","A2",,5901,,5705,,4956,,397,,6,,170,,176,
"20170630","S08000031",,"New Outpatient","A2",,5714,,5227,,4546,,264,,9,,163,,245,
"20180630","S08000031",,"New Outpatient","A2",,5308,,6235,,5306,,306,,8,,373,,242,
"20190630","S08000031",,"New Outpatient","A2",,5474,,5050,,4424,,265,,4,,151,,206,
"20200630","S08000031",,"New Outpatient","A2",,1689,,1528,,1010,,92,,5,,295,,126,
"20210630","S08000031",,"New Outpatient","A2",,4392,,3621,,2965,,140,,18,,255,,243,
"20220630","S08000031",,"New Outpatient","A2",,4657,,4045,,3469,,165,,6,,194,,211,
"20130930","S08000031",,"New Outpatient","A2",,5565,,5254,,4425,,428,,13,,215,,173,
"20140930","S08000031",,"New Outpatient","A2",,5520,,5760,,4949,,435,,25,,136,,215,
"20150930","S08000031",,"New Outpatient","A2",,5648,,5534,,4841,,385,,10,,136,,162,
"20160930","S08000031",,"New Outpatient","A2",,5935,,5478,,4690,,384,,17,,190,,197,
"20170930","S08000031",,"New Outpatient","A2",,5646,,5188,,4409,,307,,4,,218,,250,
"20180930","S08000031",,"New Outpatient","A2",,5064,,5304,,4616,,217,,3,,273,,195,
"20190930","S08000031",,"New Outpatient","A2",,5365,,5161,,4521,,247,,2,,179,,212,
"20200930","S08000031",,"New Outpatient","A2",,2924,,2316,,1887,,67,,5,,153,,204,
"20210930","S08000031",,"New Outpatient","A2",,4242,,3619,,3008,,134,,9,,293,,175,
"20220930","S08000031",,"New Outpatient","A2",,4467,,4161,,3577,,141,,2,,222,,219,
"20130331","S08000031",,"New Outpatient","A2",,4905,,4948,,4021,,330,,14,,140,,443,
"20140331","S08000031",,"New Outpatient","A2",,5922,,6136,,5368,,370,,13,,170,,215,
"20150331","S08000031",,"New Outpatient","A2",,5912,,5873,,5065,,426,,21,,205,,156,
"20160331","S08000031",,"New Outpatient","A2",,5938,,5921,,5179,,374,,7,,196,,165,
"20170331","S08000031",,"New Outpatient","A2",,5964,,5964,,5226,,310,,3,,204,,221,
"20180331","S08000031",,"New Outpatient","A2",,5440,,5696,,4872,,356,,6,,215,,247,
"20190331","S08000031",,"New Outpatient","A2",,5447,,5450,,4799,,217,,4,,202,,228,
"20200331","S08000031",,"New Outpatient","A2",,5042,,5064,,4333,,225,,3,,236,,267,
"20210331","S08000031",,"New Outpatient","A2",,3777,,3943,,3209,,163,,21,,338,,212,
"20220331","S08000031",,"New Outpatient","A2",,4294,,4312,,3537,,114,,5,,441,,215,
"20121231","S08000031",,"New Outpatient","A2",,4861,,4714,,3631,,375,,43,,120,,545,
"20131231","S08000031",,"New Outpatient","A2",,6048,,6029,,5112,,466,,21,,252,,178,
"20141231","S08000031",,"New Outpatient","A2",,5951,,5993,,5138,,476,,23,,134,,222,
"20151231","S08000031",,"New Outpatient","A2",,5759,,5893,,5128,,421,,12,,183,,149,
