_id,QuarterEnding,HBT,HBTQF,PatientType,Specialty,SpecialtyQF,NumberSeen,NumberSeenQF,WaitedOver12Weeks,WaitedOver12WeeksQF,Median,MedianQF,90thPercentile,90thPercentileQF
7710,20211231,S08000020,"",New Outpatient,A6,"",49,"",0,"",24,"",44,""
7711,20221231,S08000020,"",New Outpatient,A6,"",171,"",6,"",6,"",46,""
7712,20130630,S08000020,"",New Outpatient,A7,"",1772,"",28,"",80,"",83,""
7713,20140630,S08000020,"",New Outpatient,A7,"",1734,"",410,"",64,"",144,""
7714,20150630,S08000020,"",New Outpatient,A7,"",1723,"",693,"",58,"",209.8,""
7715,20160630,S08000020,"",New Outpatient,A7,"",1825,"",621,"",68,"",144,""
7716,20170630,S08000020,"",New Outpatient,A7,"",1407,"",287,"",41,"",105,""
7717,20180630,S08000020,"",New Outpatient,A7,"",1815,"",956,"",95,"",213,""
7718,20190630,S08000020,"",New Outpatient,A7,"",1876,"",999,"",131,"",218,""
7719,20200630,S08000020,"",New Outpatient,A7,"",335,"",40,"",36,"",93.6,""
7720,20210630,S08000020,"",New Outpatient,A7,"",1945,"",904,"",60,"",324,""
7721,20220630,S08000020,"",New Outpatient,A7,"",2090,"",632,"",27,"",138.1,""
7722,20130930,S08000020,"",New Outpatient,A7,"",1701,"",76,"",73,"",83,""
7723,20140930,S08000020,"",New Outpatient,A7,"",1187,"",323,"",54,"",186,""
7724,20150930,S08000020,"",New Outpatient,A7,"",1446,"",661,"",71.5,"",208.5,""
7725,20160930,S08000020,"",New Outpatient,A7,"",1935,"",1029,"",99,"",160,""
7726,20170930,S08000020,"",New Outpatient,A7,"",1790,"",716,"",41,"",150,""
7727,20180930,S08000020,"",New Outpatient,A7,"",1496,"",575,"",47,"",194.5,""
7728,20190930,S08000020,"",New Outpatient,A7,"",2819,"",1791,"",114,"",207,""
7729,20200930,S08000020,"",New Outpatient,A7,"",793,"",87,"",33,"",90.8000000000001,""
7730,20210930,S08000020,"",New Outpatient,A7,"",1667,"",426,"",31,"",272,""
7731,20220930,S08000020,"",New Outpatient,A7,"",1775,"",358,"",35,"",123,""
7732,20130331,S08000020,"",New Outpatient,A7,"",1585,"",13,"",71,"",83,""
7733,20140331,S08000020,"",New Outpatient,A7,"",1636,"",133,"",81,"",84,""
7734,20150331,S08000020,"",New Outpatient,A7,"",1573,"",936,"",113,"",205,""
7735,20160331,S08000020,"",New Outpatient,A7,"",1621,"",730,"",78,"",223,""
7736,20170331,S08000020,"",New Outpatient,A7,"",1950,"",271,"",35,"",107,""
7737,20180331,S08000020,"",New Outpatient,A7,"",1695,"",772,"",69,"",199,""
7738,20190331,S08000020,"",New Outpatient,A7,"",2005,"",1193,"",181,"",240,""
7739,20200331,S08000020,"",New Outpatient,A7,"",2453,"",816,"",51,"",144,""
7740,20210331,S08000020,"",New Outpatient,A7,"",1164,"",234,"",19,"",307.4,""
7741,20220331,S08000020,"",New Outpatient,A7,"",1839,"",832,"",44,"",187.2,""
7742,20121231,S08000020,"",New Outpatient,A7,"",1643,"",3,"",69,"",83.8,""
7743,20131231,S08000020,"",New Outpatient,A7,"",1608,"",84,"",82,"",84,""
7744,20141231,S08000020,"",New Outpatient,A7,"",1847,"",1006,"",124,"",212,""
7745,20151231,S08000020,"",New Outpatient,A7,"",3138,"",1823,"",102,"",208,""
7746,20161231,S08000020,"",New Outpatient,A7,"",3029,"",1484,"",83,"",160,""
7747,20171231,S08000020,"",New Outpatient,A7,"",1609,"",642,"",42,"",164,""
7748,20181231,S08000020,"",New Outpatient,A7,"",1535,"",759,"",74,"",216,""
7749,20191231,S08000020,"",New Outpatient,A7,"",1657,"",790,"",77,"",138.4,""
7750,20201231,S08000020,"",New Outpatient,A7,"",1387,"",287,"",29,"",170.000000000001,""
7751,20211231,S08000020,"",New Outpatient,A7,"",1879,"",769,"",40,"",212,""
7752,20221231,S08000020,"",New Outpatient,A7,"",1703,"",381,"",33,"",190.8,""
7753,20130630,S08000020,"",New Outpatient,A8,"",263,"",0,"",49,"",82.8,""
7754,20140630,S08000020,"",New Outpatient,A8,"",267,"",0,"",28,"",75.4,""
7755,20150630,S08000020,"",New Outpatient,A8,"",235,"",17,"",32,"",77.6,""
7756,20160630,S08000020,"",New Outpatient,A8,"",262,"",25,"",59,"",84,""
7757,20170630,S08000020,"",New Outpatient,A8,"",237,"",25,"",44,"",88.6,""
7758,20180630,S08000020,"",New Outpatient,A8,"",266,"",25,"",41,"",83,""
7759,20190630,S08000020,"",New Outpatient,A8,"",275,"",23,"",44,"",83,""
7760,20200630,S08000020,"",New Outpatient,A8,"",135,"",5,"",57,"",77,""
7761,20210630,S08000020,"",New Outpatient,A8,"",278,"",176,"",110,"",163,""
7762,20220630,S08000020,"",New Outpatient,A8,"",272,"",27,"",54.5,"",83.6,""
7763,20130930,S08000020,"",New Outpatient,A8,"",291,"",0,"",49,"",83,""
7764,20140930,S08000020,"",New Outpatient,A8,"",219,"",0,"",33,"",57,""
7765,20150930,S08000020,"",New Outpatient,A8,"",248,"",32,"",36.5,"",97,""
7766,20160930,S08000020,"",New Outpatient,A8,"",210,"",24,"",71,"",85.1,""
7767,20170930,S08000020,"",New Outpatient,A8,"",233,"",21,"",44,"",83.8,""
7768,20180930,S08000020,"",New Outpatient,A8,"",263,"",12,"",46,"",74.8,""
7769,20190930,S08000020,"",New Outpatient,A8,"",313,"",19,"",46,"",81,""
7770,20200930,S08000020,"",New Outpatient,A8,"",235,"",59,"",43,"",136.4,""
7771,20210930,S08000020,"",New Outpatient,A8,"",315,"",135,"",80,"",127,""
7772,20220930,S08000020,"",New Outpatient,A8,"",267,"",59,"",51,"",120,""
7773,20130331,S08000020,"",New Outpatient,A8,"",250,"",0,"",54.5,"",82,""
7774,20140331,S08000020,"",New Outpatient,A8,"",249,"",2,"",35,"",78,""
7775,20150331,S08000020,"",New Outpatient,A8,"",220,"",2,"",29,"",64,""
7776,20160331,S08000020,"",New Outpatient,A8,"",273,"",14,"",54,"",83,""
7777,20170331,S08000020,"",New Outpatient,A8,"",286,"",33,"",44,"",99,""
7778,20180331,S08000020,"",New Outpatient,A8,"",261,"",37,"",43,"",105,""
7779,20190331,S08000020,"",New Outpatient,A8,"",280,"",19,"",55.5,"",83,""
7780,20200331,S08000020,"",New Outpatient,A8,"",235,"",23,"",65,"",84,""
7781,20210331,S08000020,"",New Outpatient,A8,"",141,"",27,"",41,"",94,""
7782,20220331,S08000020,"",New Outpatient,A8,"",308,"",44,"",55,"",90,""
7783,20121231,S08000020,"",New Outpatient,A8,"",251,"",0,"",55,"",78,""
7784,20131231,S08000020,"",New Outpatient,A8,"",284,"",1,"",48,"",81,""
7785,20141231,S08000020,"",New Outpatient,A8,"",238,"",1,"",34,"",59.3,""
7786,20151231,S08000020,"",New Outpatient,A8,"",268,"",13,"",44.5,"",83,""
7787,20161231,S08000020,"",New Outpatient,A8,"",293,"",46,"",63,"",118,""
7788,20171231,S08000020,"",New Outpatient,A8,"",267,"",22,"",42,"",77,""
7789,20181231,S08000020,"",New Outpatient,A8,"",272,"",15,"",49,"",78,""
7790,20191231,S08000020,"",New Outpatient,A8,"",282,"",11,"",43,"",69,""
7791,20201231,S08000020,"",New Outpatient,A8,"",262,"",55,"",55,"",105,""
7792,20211231,S08000020,"",New Outpatient,A8,"",303,"",88,"",61,"",118.2,""
7793,20221231,S08000020,"",New Outpatient,A8,"",335,"",30,"",48,"",84,""
7794,20190630,S08000020,"",New Outpatient,A81,"",7,"",0,"",,:,,:
7795,20200630,S08000020,"",New Outpatient,A81,"",4,"",4,"",,:,,:
7796,20210630,S08000020,"",New Outpatient,A81,"",15,"",13,"",,:,,:
7797,20220630,S08000020,"",New Outpatient,A81,"",21,"",2,"",48,"",64,""
7798,20190930,S08000020,"",New Outpatient,A81,"",18,"",7,"",,:,,:
7799,20200930,S08000020,"",New Outpatient,A81,"",15,"",14,"",,:,,:
7800,20210930,S08000020,"",New Outpatient,A81,"",21,"",17,"",90,"",111,""
7801,20220930,S08000020,"",New Outpatient,A81,"",28,"",0,"",59,"",73,""
7802,20200331,S08000020,"",New Outpatient,A81,"",19,"",14,"",,:,,:
7803,20210331,S08000020,"",New Outpatient,A81,"",11,"",3,"",,:,,:
7804,20220331,S08000020,"",New Outpatient,A81,"",49,"",21,"",80,"",125.2,""
7805,20191231,S08000020,"",New Outpatient,A81,"",22,"",7,"",39.5,"",485.6,""
7806,20201231,S08000020,"",New Outpatient,A81,"",22,"",12,"",93.5,"",192.5,""
7807,20211231,S08000020,"",New Outpatient,A81,"",33,"",32,"",122,"",129,""
7808,20221231,S08000020,"",New Outpatient,A81,"",12,"",0,"",,:,,:
7809,20130630,S08000020,"",New Outpatient,A82,"",112,"",0,"",26.5,"",55.9,""
7810,20140630,S08000020,"",New Outpatient,A82,"",111,"",2,"",35,"",68,""
7811,20150630,S08000020,"",New Outpatient,A82,"",119,"",9,"",40,"",84,""
7812,20160630,S08000020,"",New Outpatient,A82,"",101,"",2,"",28,"",73,""
7813,20170630,S08000020,"",New Outpatient,A82,"",102,"",2,"",45.5,"",63,""
7814,20180630,S08000020,"",New Outpatient,A82,"",89,"",1,"",52,"",78.2,""
7815,20190630,S08000020,"",New Outpatient,A82,"",123,"",4,"",39,"",68.8,""
7816,20200630,S08000020,"",New Outpatient,A82,"",76,"",7,"",36,"",74,""
7817,20210630,S08000020,"",New Outpatient,A82,"",119,"",6,"",26,"",59.6,""
7818,20220630,S08000020,"",New Outpatient,A82,"",137,"",7,"",29,"",76.2,""
7819,20130930,S08000020,"",New Outpatient,A82,"",95,"",0,"",32,"",62.2,""
7820,20140930,S08000020,"",New Outpatient,A82,"",103,"",6,"",41,"",77.4,""
7821,20150930,S08000020,"",New Outpatient,A82,"",102,"",4,"",28,"",71.5,""
7822,20160930,S08000020,"",New Outpatient,A82,"",77,"",3,"",39,"",63,""
7823,20170930,S08000020,"",New Outpatient,A82,"",96,"",4,"",54,"",82,""
7824,20180930,S08000020,"",New Outpatient,A82,"",92,"",9,"",35,"",76.9,""
7825,20190930,S08000020,"",New Outpatient,A82,"",107,"",5,"",28,"",57,""
7826,20200930,S08000020,"",New Outpatient,A82,"",70,"",10,"",27,"",153.2,""
7827,20210930,S08000020,"",New Outpatient,A82,"",102,"",11,"",29,"",82.0000000000002,""
7828,20220930,S08000020,"",New Outpatient,A82,"",115,"",6,"",22,"",67.6000000000001,""
7829,20130331,S08000020,"",New Outpatient,A82,"",123,"",2,"",28,"",58.4,""
7830,20140331,S08000020,"",New Outpatient,A82,"",104,"",2,"",28,"",62.7,""
7831,20150331,S08000020,"",New Outpatient,A82,"",133,"",3,"",30,"",70,""
7832,20160331,S08000020,"",New Outpatient,A82,"",88,"",2,"",29.5,"",83,""
7833,20170331,S08000020,"",New Outpatient,A82,"",112,"",4,"",49,"",69.9,""
7834,20180331,S08000020,"",New Outpatient,A82,"",90,"",9,"",69.5,"",84.2,""
7835,20190331,S08000020,"",New Outpatient,A82,"",115,"",5,"",35,"",63.6,""
7836,20200331,S08000020,"",New Outpatient,A82,"",127,"",7,"",34,"",60.8,""
7837,20210331,S08000020,"",New Outpatient,A82,"",121,"",12,"",27,"",74,""
7838,20220331,S08000020,"",New Outpatient,A82,"",120,"",7,"",30,"",63,""
7839,20121231,S08000020,"",New Outpatient,A82,"",107,"",1,"",25,"",58.4,""
7840,20131231,S08000020,"",New Outpatient,A82,"",132,"",0,"",27,"",64.9,""
7841,20141231,S08000020,"",New Outpatient,A82,"",116,"",4,"",32,"",69.5,""
7842,20151231,S08000020,"",New Outpatient,A82,"",104,"",7,"",32.5,"",83,""
7843,20161231,S08000020,"",New Outpatient,A82,"",91,"",7,"",49,"",71,""
7844,20171231,S08000020,"",New Outpatient,A82,"",80,"",2,"",56.5,"",76.1,""
7845,20181231,S08000020,"",New Outpatient,A82,"",84,"",3,"",36.5,"",70.7,""
7846,20191231,S08000020,"",New Outpatient,A82,"",115,"",4,"",37,"",60.2,""
7847,20201231,S08000020,"",New Outpatient,A82,"",91,"",10,"",31,"",111,""
7848,20211231,S08000020,"",New Outpatient,A82,"",143,"",15,"",23,"",89.4,""
7849,20221231,S08000020,"",New Outpatient,A82,"",145,"",20,"",22,"",104.6,""
7850,20130630,S08000020,"",New Outpatient,A9,"",828,"",1,"",51,"",83,""
7851,20140630,S08000020,"",New Outpatient,A9,"",1006,"",12,"",54,"",83,""
7852,20150630,S08000020,"",New Outpatient,A9,"",1591,"",173,"",36,"",91,""
7853,20160630,S08000020,"",New Outpatient,A9,"",1106,"",59,"",44,"",81,""
7854,20170630,S08000020,"",New Outpatient,A9,"",1103,"",339,"",50,"",173,""
7855,20180630,S08000020,"",New Outpatient,A9,"",1607,"",256,"",39,"",99.4000000000001,""
7856,20190630,S08000020,"",New Outpatient,A9,"",1683,"",431,"",39,"",112,""
7857,20200630,S08000020,"",New Outpatient,A9,"",689,"",93,"",21,"",97.2000000000001,""
7858,20210630,S08000020,"",New Outpatient,A9,"",1542,"",237,"",42.5,"",103,""
7859,20220630,S08000020,"",New Outpatient,A9,"",1253,"",186,"",37,"",163.6,""
7860,20130930,S08000020,"",New Outpatient,A9,"",1031,"",0,"",61,"",83,""
7861,20140930,S08000020,"",New Outpatient,A9,"",1163,"",41,"",45,"",83,""
7862,20150930,S08000020,"",New Outpatient,A9,"",1018,"",180,"",62,"",119.6,""
7863,20160930,S08000020,"",New Outpatient,A9,"",1388,"",376,"",53.5,"",112,""
7864,20170930,S08000020,"",New Outpatient,A9,"",1147,"",382,"",58,"",190,""
7865,20180930,S08000020,"",New Outpatient,A9,"",1612,"",223,"",37,"",103,""
7866,20190930,S08000020,"",New Outpatient,A9,"",2078,"",670,"",53,"",131.3,""
7867,20200930,S08000020,"",New Outpatient,A9,"",970,"",255,"",29,"",207,""
7868,20210930,S08000020,"",New Outpatient,A9,"",1148,"",142,"",35,"",94,""
7869,20220930,S08000020,"",New Outpatient,A9,"",1182,"",281,"",47,"",358.9,""
7870,20130331,S08000020,"",New Outpatient,A9,"",1022,"",3,"",49,"",83,""
7871,20140331,S08000020,"",New Outpatient,A9,"",1146,"",12,"",56,"",83,""
7872,20150331,S08000020,"",New Outpatient,A9,"",1624,"",174,"",43,"",88,""
7873,20160331,S08000020,"",New Outpatient,A9,"",1181,"",80,"",49,"",83,""
7874,20170331,S08000020,"",New Outpatient,A9,"",1268,"",426,"",48,"",142,""
7875,20180331,S08000020,"",New Outpatient,A9,"",1699,"",345,"",44,"",126,""
7876,20190331,S08000020,"",New Outpatient,A9,"",1643,"",446,"",43,"",107,""
7877,20200331,S08000020,"",New Outpatient,A9,"",1508,"",82,"",36,"",75,""
7878,20210331,S08000020,"",New Outpatient,A9,"",1359,"",127,"",40,"",83,""
7879,20220331,S08000020,"",New Outpatient,A9,"",1271,"",267,"",42,"",224,""
7880,20121231,S08000020,"",New Outpatient,A9,"",1128,"",0,"",37,"",83,""
7881,20131231,S08000020,"",New Outpatient,A9,"",1198,"",4,"",58,"",83,""
7882,20141231,S08000020,"",New Outpatient,A9,"",1531,"",38,"",41,"",83,""
7883,20151231,S08000020,"",New Outpatient,A9,"",1552,"",284,"",60,"",110,""
7884,20161231,S08000020,"",New Outpatient,A9,"",1057,"",258,"",45,"",111,""
7885,20171231,S08000020,"",New Outpatient,A9,"",1836,"",692,"",52.5,"",202,""
7886,20181231,S08000020,"",New Outpatient,A9,"",1575,"",263,"",40,"",105,""
7887,20191231,S08000020,"",New Outpatient,A9,"",1877,"",166,"",34,"",82,""
7888,20201231,S08000020,"",New Outpatient,A9,"",1568,"",440,"",34,"",206.3,""
7889,20211231,S08000020,"",New Outpatient,A9,"",1197,"",232,"",42,"",120,""
7890,20221231,S08000020,"",New Outpatient,A9,"",1277,"",335,"",52,"",370,""
7891,20130630,S08000020,"",New Outpatient,AB,"",179,"",0,"",28,"",58.2,""
7892,20140630,S08000020,"",New Outpatient,AB,"",175,"",0,"",22,"",48.6,""
7893,20150630,S08000020,"",New Outpatient,AB,"",152,"",2,"",22,"",47.9,""
7894,20160630,S08000020,"",New Outpatient,AB,"",201,"",2,"",24,"",55,""
7895,20170630,S08000020,"",New Outpatient,AB,"",141,"",4,"",23,"",47,""
7896,20180630,S08000020,"",New Outpatient,AB,"",153,"",3,"",33,"",66,""
7897,20190630,S08000020,"",New Outpatient,AB,"",117,"",7,"",21,"",54,""
7898,20200630,S08000020,"",New Outpatient,AB,"",38,"",5,"",32,"",90.7000000000001,""
7899,20210630,S08000020,"",New Outpatient,AB,"",112,"",19,"",25,"",93.7,""
7900,20220630,S08000020,"",New Outpatient,AB,"",128,"",13,"",22,"",83.6,""
7901,20130930,S08000020,"",New Outpatient,AB,"",167,"",0,"",27,"",61.4,""
7902,20140930,S08000020,"",New Outpatient,AB,"",176,"",0,"",21.5,"",47.5,""
7903,20150930,S08000020,"",New Outpatient,AB,"",185,"",3,"",26,"",54.6,""
7904,20160930,S08000020,"",New Outpatient,AB,"",149,"",8,"",23,"",64.2,""
7905,20170930,S08000020,"",New Outpatient,AB,"",132,"",2,"",25,"",48.8,""
7906,20180930,S08000020,"",New Outpatient,AB,"",130,"",6,"",35,"",67.1,""
7907,20190930,S08000020,"",New Outpatient,AB,"",112,"",3,"",23,"",52,""
7908,20200930,S08000020,"",New Outpatient,AB,"",83,"",12,"",15,"",135.6,""
7909,20210930,S08000020,"",New Outpatient,AB,"",121,"",25,"",42,"",136,""
7910,20220930,S08000020,"",New Outpatient,AB,"",150,"",11,"",29.5,"",80.1,""
7911,20130331,S08000020,"",New Outpatient,AB,"",155,"",0,"",27,"",53.6,""
7912,20140331,S08000020,"",New Outpatient,AB,"",185,"",0,"",25,"",51,""
7913,20150331,S08000020,"",New Outpatient,AB,"",152,"",5,"",26,"",56,""
7914,20160331,S08000020,"",New Outpatient,AB,"",179,"",2,"",20,"",54,""
7915,20170331,S08000020,"",New Outpatient,AB,"",140,"",0,"",15,"",44.2,""
7916,20180331,S08000020,"",New Outpatient,AB,"",137,"",5,"",31,"",71,""
7917,20190331,S08000020,"",New Outpatient,AB,"",101,"",5,"",19,"",57,""
7918,20200331,S08000020,"",New Outpatient,AB,"",101,"",4,"",23,"",64,""
7919,20210331,S08000020,"",New Outpatient,AB,"",61,"",4,"",12,"",57,""
7920,20220331,S08000020,"",New Outpatient,AB,"",87,"",8,"",35,"",81.4,""
7921,20121231,S08000020,"",New Outpatient,AB,"",147,"",0,"",22,"",56.4,""
7922,20131231,S08000020,"",New Outpatient,AB,"",172,"",0,"",23,"",50,""
7923,20141231,S08000020,"",New Outpatient,AB,"",192,"",6,"",21,"",70.9,""
7924,20151231,S08000020,"",New Outpatient,AB,"",177,"",0,"",21,"",45,""
7925,20161231,S08000020,"",New Outpatient,AB,"",150,"",9,"",25,"",69.1,""
7926,20171231,S08000020,"",New Outpatient,AB,"",161,"",7,"",33,"",66,""
7927,20181231,S08000020,"",New Outpatient,AB,"",116,"",3,"",21,"",50.5,""
7928,20191231,S08000020,"",New Outpatient,AB,"",124,"",5,"",21,"",49.7,""
7929,20201231,S08000020,"",New Outpatient,AB,"",96,"",15,"",15.5,"",115.5,""
7930,20211231,S08000020,"",New Outpatient,AB,"",104,"",3,"",31.5,"",61.8,""
7931,20221231,S08000020,"",New Outpatient,AB,"",132,"",6,"",25,"",69.8,""
7932,20130630,S08000020,"",New Outpatient,AD,"",147,"",0,"",6,"",22,""
7933,20140630,S08000020,"",New Outpatient,AD,"",173,"",0,"",8,"",21.6,""
7934,20150630,S08000020,"",New Outpatient,AD,"",182,"",0,"",9,"",21.9,""
7935,20160630,S08000020,"",New Outpatient,AD,"",187,"",0,"",11,"",27.4,""
7936,20170630,S08000020,"",New Outpatient,AD,"",176,"",2,"",9,"",28,""
7937,20180630,S08000020,"",New Outpatient,AD,"",157,"",1,"",12,"",24,""
7938,20190630,S08000020,"",New Outpatient,AD,"",159,"",0,"",12,"",31.2,""
7939,20200630,S08000020,"",New Outpatient,AD,"",151,"",1,"",8,"",23,""
7940,20210630,S08000020,"",New Outpatient,AD,"",162,"",1,"",12,"",24,""
7941,20220630,S08000020,"",New Outpatient,AD,"",170,"",0,"",17.5,"",36,""
7942,20130930,S08000020,"",New Outpatient,AD,"",154,"",0,"",7,"",21,""
7943,20140930,S08000020,"",New Outpatient,AD,"",181,"",0,"",8,"",25,""
7944,20150930,S08000020,"",New Outpatient,AD,"",163,"",0,"",11,"",29.8,""
7945,20160930,S08000020,"",New Outpatient,AD,"",157,"",1,"",8,"",22,""
7946,20170930,S08000020,"",New Outpatient,AD,"",177,"",4,"",10,"",22.8,""
7947,20180930,S08000020,"",New Outpatient,AD,"",163,"",0,"",11,"",21,""
7948,20190930,S08000020,"",New Outpatient,AD,"",169,"",0,"",11,"",25.2,""
7949,20200930,S08000020,"",New Outpatient,AD,"",134,"",2,"",9,"",31.1,""
7950,20210930,S08000020,"",New Outpatient,AD,"",165,"",0,"",13,"",27.6,""
7951,20220930,S08000020,"",New Outpatient,AD,"",131,"",0,"",22,"",40,""
7952,20130331,S08000020,"",New Outpatient,AD,"",145,"",0,"",6,"",14,""
7953,20140331,S08000020,"",New Outpatient,AD,"",160,"",3,"",7,"",25.1,""
7954,20150331,S08000020,"",New Outpatient,AD,"",191,"",0,"",8,"",30,""
7955,20160331,S08000020,"",New Outpatient,AD,"",212,"",0,"",11,"",32.9,""
7956,20170331,S08000020,"",New Outpatient,AD,"",185,"",9,"",8,"",32.6,""
7957,20180331,S08000020,"",New Outpatient,AD,"",185,"",3,"",7,"",26.6,""
7958,20190331,S08000020,"",New Outpatient,AD,"",181,"",0,"",11,"",26,""
7959,20200331,S08000020,"",New Outpatient,AD,"",130,"",0,"",11.5,"",29.2,""
7960,20210331,S08000020,"",New Outpatient,AD,"",171,"",0,"",14,"",28,""
7961,20220331,S08000020,"",New Outpatient,AD,"",178,"",0,"",13,"",29,""
7962,20121231,S08000020,"",New Outpatient,AD,"",141,"",0,"",7,"",26,""
7963,20131231,S08000020,"",New Outpatient,AD,"",178,"",1,"",7,"",21,""
7964,20141231,S08000020,"",New Outpatient,AD,"",152,"",0,"",11,"",29,""
7965,20151231,S08000020,"",New Outpatient,AD,"",207,"",3,"",12,"",32.4,""
7966,20161231,S08000020,"",New Outpatient,AD,"",195,"",3,"",8,"",24,""
7967,20171231,S08000020,"",New Outpatient,AD,"",155,"",0,"",8,"",21,""
7968,20181231,S08000020,"",New Outpatient,AD,"",176,"",0,"",10.5,"",23,""
7969,20191231,S08000020,"",New Outpatient,AD,"",178,"",0,"",9,"",22,""
7970,20201231,S08000020,"",New Outpatient,AD,"",166,"",0,"",10,"",20,""
7971,20211231,S08000020,"",New Outpatient,AD,"",191,"",0,"",14,"",28,""
7972,20221231,S08000020,"",New Outpatient,AD,"",152,"",0,"",22,"",46,""
7973,20130630,S08000020,"",New Outpatient,AF,"",914,"",1,"",56,"",83,""
7974,20140630,S08000020,"",New Outpatient,AF,"",551,"",30,"",55,"",83,""
7975,20150630,S08000020,"",New Outpatient,AF,"",435,"",155,"",68,"",134.6,""
7976,20160630,S08000020,"",New Outpatient,AF,"",458,"",20,"",55,"",74,""
7977,20170630,S08000020,"",New Outpatient,AF,"",481,"",53,"",63,"",86,""
7978,20180630,S08000020,"",New Outpatient,AF,"",535,"",331,"",107,"",145,""
7979,20190630,S08000020,"",New Outpatient,AF,"",504,"",62,"",57,"",86,""
7980,20200630,S08000020,"",New Outpatient,AF,"",310,"",28,"",23,"",84,""
7981,20210630,S08000020,"",New Outpatient,AF,"",572,"",66,"",35,"",88.9,""
7982,20220630,S08000020,"",New Outpatient,AF,"",682,"",258,"",63,"",201,""
7983,20130930,S08000020,"",New Outpatient,AF,"",741,"",0,"",62,"",83,""
7984,20140930,S08000020,"",New Outpatient,AF,"",472,"",32,"",53,"",82,""
7985,20150930,S08000020,"",New Outpatient,AF,"",397,"",196,"",84,"",186,""
7986,20160930,S08000020,"",New Outpatient,AF,"",432,"",146,"",69.5,"",103,""
7987,20170930,S08000020,"",New Outpatient,AF,"",440,"",98,"",70,"",111,""
7988,20180930,S08000020,"",New Outpatient,AF,"",547,"",328,"",101,"",130,""
7989,20190930,S08000020,"",New Outpatient,AF,"",585,"",63,"",40,"",86.6,""
7990,20200930,S08000020,"",New Outpatient,AF,"",253,"",41,"",21,"",132.6,""
7991,20210930,S08000020,"",New Outpatient,AF,"",506,"",96,"",45,"",133,""
7992,20220930,S08000020,"",New Outpatient,AF,"",539,"",219,"",63,"",201.2,""
7993,20130331,S08000020,"",New Outpatient,AF,"",833,"",2,"",56,"",80,""
7994,20140331,S08000020,"",New Outpatient,AF,"",582,"",56,"",56,"",84,""
7995,20150331,S08000020,"",New Outpatient,AF,"",411,"",99,"",66,"",97,""
7996,20160331,S08000020,"",New Outpatient,AF,"",485,"",23,"",47,"",70,""
7997,20170331,S08000020,"",New Outpatient,AF,"",568,"",62,"",48,"",86.3,""
7998,20180331,S08000020,"",New Outpatient,AF,"",406,"",277,"",113.5,"",139,""
7999,20190331,S08000020,"",New Outpatient,AF,"",610,"",35,"",50,"",81,""
8000,20200331,S08000020,"",New Outpatient,AF,"",566,"",62,"",46,"",85,""
8001,20210331,S08000020,"",New Outpatient,AF,"",528,"",73,"",38,"",91.3,""
8002,20220331,S08000020,"",New Outpatient,AF,"",628,"",131,"",41.5,"",177.9,""
8003,20121231,S08000020,"",New Outpatient,AF,"",854,"",0,"",42,"",83,""
8004,20131231,S08000020,"",New Outpatient,AF,"",579,"",10,"",69,"",83,""
8005,20141231,S08000020,"",New Outpatient,AF,"",386,"",35,"",47,"",83.5,""
8006,20151231,S08000020,"",New Outpatient,AF,"",786,"",424,"",94,"",184.5,""
8007,20161231,S08000020,"",New Outpatient,AF,"",537,"",93,"",56,"",104,""
8008,20171231,S08000020,"",New Outpatient,AF,"",370,"",183,"",84,"",117.1,""
8009,20181231,S08000020,"",New Outpatient,AF,"",550,"",226,"",76,"",110.2,""
8010,20191231,S08000020,"",New Outpatient,AF,"",551,"",32,"",36,"",70,""
8011,20201231,S08000020,"",New Outpatient,AF,"",551,"",117,"",35,"",136,""
8012,20211231,S08000020,"",New Outpatient,AF,"",560,"",132,"",40,"",165,""
8013,20221231,S08000020,"",New Outpatient,AF,"",661,"",248,"",56,"",231,""
8014,20130630,S08000020,"",New Outpatient,AFA,"",1,"",0,"",,:,,:
8015,20140630,S08000020,"",New Outpatient,AFA,"",370,"",1,"",43,"",70,""
8016,20150630,S08000020,"",New Outpatient,AFA,"",339,"",5,"",48,"",76,""
8017,20160630,S08000020,"",New Outpatient,AFA,"",337,"",10,"",48,"",77,""
8018,20170630,S08000020,"",New Outpatient,AFA,"",284,"",17,"",48,"",79.7,""
8019,20180630,S08000020,"",New Outpatient,AFA,"",312,"",22,"",49,"",79.9,""
8020,20190630,S08000020,"",New Outpatient,AFA,"",296,"",41,"",61,"",95,""
8021,20200630,S08000020,"",New Outpatient,AFA,"",238,"",126,"",88,"",142,""
8022,20210630,S08000020,"",New Outpatient,AFA,"",261,"",93,"",74,"",138,""
8023,20220630,S08000020,"",New Outpatient,AFA,"",359,"",200,"",90,"",151.2,""
8024,20130930,S08000020,"",New Outpatient,AFA,"",35,"",0,"",27,"",57.2,""
8025,20140930,S08000020,"",New Outpatient,AFA,"",249,"",12,"",48,"",77.2,""
8026,20150930,S08000020,"",New Outpatient,AFA,"",256,"",16,"",54.5,"",80,""
8027,20160930,S08000020,"",New Outpatient,AFA,"",164,"",23,"",55,"",92.4,""
8028,20170930,S08000020,"",New Outpatient,AFA,"",188,"",38,"",53.5,"",99.3,""
8029,20180930,S08000020,"",New Outpatient,AFA,"",254,"",40,"",60,"",95.4,""
8030,20190930,S08000020,"",New Outpatient,AFA,"",270,"",88,"",71,"",111,""
